,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
3746,14869.94043,14869.94043,2001-01-02,15089.849609,14865.660156,15089.849609,%5eHSI,000
3745,14589.580078,14589.580078,2001-01-03,14751.330078,14512.709961,14751.330078,%5eHSI,000
3744,15235.030273,15235.030273,2001-01-04,15312.610352,15060.599609,15060.599609,%5eHSI,000
3743,15447.610352,15447.610352,2001-01-05,15494.55957,15275.900391,15354.160156,%5eHSI,000
3742,15436.530273,15436.530273,2001-01-08,15451.719727,15200.519531,15328.120117,%5eHSI,000
3741,15500.589844,15500.589844,2001-01-09,15555.969727,15336.620117,15438.299805,%5eHSI,000
3740,15435.790039,15435.790039,2001-01-10,15539.299805,15327.700195,15395.969727,%5eHSI,000
3739,15090.769531,15090.769531,2001-01-11,15481.759766,15060.80957,15441.299805,%5eHSI,000
3738,15295.419922,15295.419922,2001-01-12,15330.150391,15157.370117,15157.370117,%5eHSI,000
3737,15293.759766,15293.759766,2001-01-15,15388.019531,15146.650391,15288.80957,%5eHSI,000
3736,15363.150391,15363.150391,2001-01-16,15430.950195,15241.900391,15290.700195,%5eHSI,000
3735,15261.480469,15261.480469,2001-01-17,15451.389648,15154.019531,15409.379883,%5eHSI,000
3734,15528.75,15528.75,2001-01-18,15553.509766,15292.839844,15292.839844,%5eHSI,000
3733,15933.549805,15933.549805,2001-01-19,15964.929688,15682.349609,15682.349609,%5eHSI,000
3732,16099.269531,16099.269531,2001-01-22,16106.160156,15906.580078,15967.660156,%5eHSI,000
3731,16044.209961,16044.209961,2001-01-23,16099.05957,15940.259766,16053.219727,%5eHSI,000
3730,16099.820312,16099.820312,2001-01-29,16255.110352,15980.509766,16176.099609,%5eHSI,000
3729,15893.070312,15893.070312,2001-01-30,16167.950195,15877.230469,16145.280273,%5eHSI,000
3728,16102.349609,16102.349609,2001-01-31,16106.709961,15905.509766,15916.419922,%5eHSI,000
3727,16163.990234,16163.990234,2001-02-01,16193.169922,15913.070312,16055.639648,%5eHSI,000
3726,16071.290039,16071.290039,2001-02-02,16274.669922,16056.200195,16165.429688,%5eHSI,000
3725,15830.839844,15830.839844,2001-02-05,16013.459961,15753.969727,16013.459961,%5eHSI,000
3724,15913.240234,15913.240234,2001-02-06,15936.480469,15819.639648,15864.469727,%5eHSI,000
3723,16049.469727,16049.469727,2001-02-07,16060.320312,15871.379883,15909.019531,%5eHSI,000
3722,15909.400391,15909.400391,2001-02-08,15987.570312,15794.44043,15987.570312,%5eHSI,000
3721,15873.280273,15873.280273,2001-02-09,15899.240234,15782.879883,15882.929688,%5eHSI,000
3720,15693.110352,15693.110352,2001-02-12,15807.639648,15586.459961,15807.639648,%5eHSI,000
3719,15842.719727,15842.719727,2001-02-13,15915.05957,15792.759766,15801.69043,%5eHSI,000
3718,15860.419922,15860.419922,2001-02-14,16021.219727,15750.959961,15821.790039,%5eHSI,000
3717,15756.370117,15756.370117,2001-02-15,15870.980469,15714.769531,15865.469727,%5eHSI,000
3716,15630.30957,15630.30957,2001-02-16,15813.150391,15544.620117,15777.400391,%5eHSI,000
3715,15490.959961,15490.959961,2001-02-19,15573.740234,15458.429688,15552.94043,%5eHSI,000
3714,15527.360352,15527.360352,2001-02-20,15613.44043,15437.509766,15499.019531,%5eHSI,000
3713,15351.509766,15351.509766,2001-02-21,15484.349609,15298.75,15484.349609,%5eHSI,000
3712,15098.639648,15098.639648,2001-02-22,15202.160156,15039.080078,15202.160156,%5eHSI,000
3711,15280.55957,15280.55957,2001-02-23,15302.700195,15042.80957,15135.299805,%5eHSI,000
3710,15230.219727,15230.219727,2001-02-26,15304.660156,15177.799805,15278.150391,%5eHSI,000
3709,14834.730469,14834.730469,2001-02-27,15059.169922,14771.089844,14933.589844,%5eHSI,000
3708,14787.870117,14787.870117,2001-02-28,14842.69043,14573.540039,14702.959961,%5eHSI,000
3707,14360.55957,14360.55957,2001-03-01,14696.469727,14330.570312,14696.469727,%5eHSI,000
3706,13966.429688,13966.429688,2001-03-02,14285.299805,13951.429688,14285.299805,%5eHSI,000
3705,14135.259766,14135.259766,2001-03-05,14200.900391,13908.070312,14011.299805,%5eHSI,000
3704,14321.049805,14321.049805,2001-03-06,14346.69043,14165.660156,14229.169922,%5eHSI,000
3703,14177.360352,14177.360352,2001-03-07,14432.219727,14141.410156,14369.50,%5eHSI,000
3702,14208.950195,14208.950195,2001-03-08,14247.169922,13966.969727,14177.860352,%5eHSI,000
3701,14194.349609,14194.349609,2001-03-09,14288.580078,14148.730469,14216.990234,%5eHSI,000
3700,13776.719727,13776.719727,2001-03-12,13969.049805,13671.990234,13969.049805,%5eHSI,000
3699,13493.030273,13493.030273,2001-03-13,13517.080078,13277.519531,13419.919922,%5eHSI,000
3698,13330.839844,13330.839844,2001-03-14,13616.679688,13306.94043,13485.75,%5eHSI,000
3697,13504.169922,13504.169922,2001-03-15,13553.219727,12947.589844,13056.929688,%5eHSI,000
3696,13522.040039,13522.040039,2001-03-16,13560.30957,13321.080078,13506.730469,%5eHSI,000
3695,13457.69043,13457.69043,2001-03-19,13537.75,13308.410156,13383.80957,%5eHSI,000
3694,13223.860352,13223.860352,2001-03-20,13565.969727,13200.549805,13516.849609,%5eHSI,000
3693,13154.44043,13154.44043,2001-03-21,13243.650391,12866.400391,13160.370117,%5eHSI,000
3692,12621.849609,12621.849609,2001-03-22,12992.290039,12585.769531,12992.290039,%5eHSI,000
3691,12583.360352,12583.360352,2001-03-23,12705.120117,12396.969727,12570.450195,%5eHSI,000
3690,12950.490234,12950.490234,2001-03-26,12991.879883,12678.900391,12678.900391,%5eHSI,000
3689,12707.900391,12707.900391,2001-03-27,13056.320312,12662.570312,12959.540039,%5eHSI,000
3688,12851.410156,12851.410156,2001-03-28,13015.730469,12779.339844,12824.219727,%5eHSI,000
3687,12677.889648,12677.889648,2001-03-29,12768.669922,12523.610352,12729.790039,%5eHSI,000
3686,12760.639648,12760.639648,2001-03-30,12802.519531,12578.360352,12689.110352,%5eHSI,000
3685,12727.299805,12727.299805,2001-04-02,12843.900391,12634.280273,12750.30957,%5eHSI,000
3684,12584.219727,12584.219727,2001-04-03,12688.219727,12532.530273,12688.219727,%5eHSI,000
3683,12063.709961,12063.709961,2001-04-04,12427.790039,12062.839844,12427.790039,%5eHSI,000
3682,12386.610352,12386.610352,2001-04-06,12606.150391,12374.530273,12446.240234,%5eHSI,000
3681,12202.099609,12202.099609,2001-04-09,12355.610352,12061.549805,12355.610352,%5eHSI,000
3680,12213.669922,12213.669922,2001-04-10,12321.509766,12110.00,12263.589844,%5eHSI,000
3679,12706.429688,12706.429688,2001-04-11,12728.599609,12429.879883,12429.879883,%5eHSI,000
3678,12989.469727,12989.469727,2001-04-12,13018.570312,12769.25,12778.660156,%5eHSI,000
3677,12606.450195,12606.450195,2001-04-17,12881.519531,12597.360352,12881.519531,%5eHSI,000
3676,12972.799805,12972.799805,2001-04-18,12988.150391,12761.410156,12761.410156,%5eHSI,000
3675,13548.950195,13548.950195,2001-04-19,13621.799805,13425.55957,13446.05957,%5eHSI,000
3674,13448.129883,13448.129883,2001-04-20,13570.69043,13412.290039,13570.69043,%5eHSI,000
3673,13311.50,13311.50,2001-04-23,13444.410156,13282.959961,13444.410156,%5eHSI,000
3672,13274.610352,13274.610352,2001-04-24,13279.330078,13157.400391,13250.889648,%5eHSI,000
3671,13249.549805,13249.549805,2001-04-25,13346.200195,13139.089844,13275.589844,%5eHSI,000
3670,13293.110352,13293.110352,2001-04-26,13408.700195,13237.179688,13324.549805,%5eHSI,000
3669,13386.040039,13386.040039,2001-04-27,13391.469727,13125.360352,13282.339844,%5eHSI,000
3668,13814.240234,13814.240234,2001-05-02,13841.410156,13596.269531,13596.269531,%5eHSI,000
3667,13718.139648,13718.139648,2001-05-03,13844.360352,13646.219727,13768.570312,%5eHSI,000
3666,13390.990234,13390.990234,2001-05-04,13599.469727,13319.389648,13599.469727,%5eHSI,000
3665,13600.780273,13600.780273,2001-05-07,13652.150391,13437.019531,13464.339844,%5eHSI,000
3664,13540.80957,13540.80957,2001-05-08,13599.629883,13445.980469,13599.629883,%5eHSI,000
3663,13585.139648,13585.139648,2001-05-09,13643.490234,13408.990234,13527.00,%5eHSI,000
3662,13604.799805,13604.799805,2001-05-10,13726.450195,13462.240234,13540.870117,%5eHSI,000
3661,13636.610352,13636.610352,2001-05-11,13689.679688,13579.209961,13602.150391,%5eHSI,000
3660,13259.169922,13259.169922,2001-05-14,13608.839844,13239.150391,13608.839844,%5eHSI,000
3659,13250.089844,13250.089844,2001-05-15,13350.589844,13209.549805,13232.759766,%5eHSI,000
3658,13335.950195,13335.950195,2001-05-16,13566.379883,13228.919922,13257.769531,%5eHSI,000
3657,13637.870117,13637.870117,2001-05-17,13713.05957,13550.780273,13550.780273,%5eHSI,000
3656,13459.179688,13459.179688,2001-05-18,13631.400391,13449.040039,13631.400391,%5eHSI,000
3655,13721.269531,13721.269531,2001-05-21,13732.400391,13465.719727,13465.719727,%5eHSI,000
3654,13877.950195,13877.950195,2001-05-22,13929.469727,13775.349609,13775.349609,%5eHSI,000
3653,13839.099609,13839.099609,2001-05-23,13989.160156,13798.320312,13873.219727,%5eHSI,000
3652,13810.599609,13810.599609,2001-05-24,13813.259766,13649.709961,13770.009766,%5eHSI,000
3651,13753.990234,13753.990234,2001-05-25,13956.69043,13732.889648,13853.50,%5eHSI,000
3650,13739.070312,13739.070312,2001-05-28,13756.80957,13674.730469,13738.070312,%5eHSI,000
3649,13629.610352,13629.610352,2001-05-29,13767.450195,13506.450195,13739.070312,%5eHSI,000
3648,13420.129883,13420.129883,2001-05-30,13567.540039,13348.400391,13567.540039,%5eHSI,000
3647,13174.410156,13174.410156,2001-05-31,13310.419922,13091.509766,13310.419922,%5eHSI,000
